motif_a,motif_b,shared_paintings
streets-and-squares,boats-and-ships,2
streets-and-squares,summer,2
streets-and-squares,autumn,1
streets-and-squares,winter,38
streets-and-squares,twilight-and-night,2
streets-and-squares,group-portraits,10
streets-and-squares,countryside,5
streets-and-squares,spring,4
streets-and-squares,forests-and-trees,13
streets-and-squares,Normandy,10
streets-and-squares,Paris,31
houses-and-buildings,snow-and-blizzard,9
houses-and-buildings,doors-and-windows,1
houses-and-buildings,lakes-and-ponds,3
houses-and-buildings,roads-and-vehicles,257
houses-and-buildings,moles-and-embankments,18
houses-and-buildings,markets-and-shops,9
houses-and-buildings,boats-and-ships,51
houses-and-buildings,autumn,4
houses-and-buildings,twilight-and-night,4
houses-and-buildings,group-portraits,21
houses-and-buildings,cows,2
houses-and-buildings,countryside,13
houses-and-buildings,cliffs-and-rocks,8
houses-and-buildings,designs-and-sketches,4
houses-and-buildings,mills-and-windmills,8
houses-and-buildings,fields-and-plains,11
houses-and-buildings,forests-and-trees,198
houses-and-buildings,Normandy,10
houses-and-buildings,Paris,23
houses-and-buildings,sunrise-and-sunset,3
houses-and-buildings,animals,6
houses-and-buildings,islands-and-bays,1
houses-and-buildings,mountains,4
houses-and-buildings,summer,5
houses-and-buildings,winter,62
houses-and-buildings,spring,9
houses-and-buildings,flowers-and-plants,17
forests-and-trees,Limousin,2
forests-and-trees,handwork,2
forests-and-trees,arts-and-crafts,1
forests-and-trees,fruits-and-vegetables,2
forests-and-trees,snow-and-blizzard,8
forests-and-trees,food-and-beverages,1
forests-and-trees,lakes-and-ponds,23
forests-and-trees,roads-and-vehicles,76
forests-and-trees,moles-and-embankments,2
forests-and-trees,markets-and-shops,1
forests-and-trees,boats-and-ships,33
forests-and-trees,autumn,41
forests-and-trees,twilight-and-night,6
forests-and-trees,cows,19
forests-and-trees,group-portraits,9
forests-and-trees,countryside,6
forests-and-trees,cliffs-and-rocks,63
forests-and-trees,mills-and-windmills,4
forests-and-trees,reading-and-writing,1
forests-and-trees,fields-and-plains,50
forests-and-trees,sunrise-and-sunset,3
forests-and-trees,Paris,1
forests-and-trees,Normandy,10
forests-and-trees,animals,23
forests-and-trees,cottages-and-farmhouses,26
forests-and-trees,islands-and-bays,1
forests-and-trees,mountains,29
forests-and-trees,summer,15
forests-and-trees,winter,69
forests-and-trees,leisure-and-sleep,3
forests-and-trees,washing-and-laundry,1
forests-and-trees,spring,19
forests-and-trees,flowers-and-plants,69
autumn,Limousin,4
autumn,animals,1
autumn,mountains,1
autumn,lakes-and-ponds,1
autumn,roads-and-vehicles,1
autumn,sunrise-and-sunset,1
autumn,boats-and-ships,2
autumn,twilight-and-night,1
autumn,cows,1
autumn,countryside,4
autumn,cliffs-and-rocks,3
autumn,fields-and-plains,4
autumn,flowers-and-plants,1
reading-and-writing,leisure-and-sleep,2
reading-and-writing,group-portraits,3
reading-and-writing,famous-people,1
reading-and-writing,mother-and-child,2
reading-and-writing,summer,1
reading-and-writing,furniture-and-decoration,4
reading-and-writing,lakes-and-ponds,1
reading-and-writing,flowers-and-plants,1
famous-people,arts-and-crafts,2
cliffs-and-rocks,animals,1
cliffs-and-rocks,cottages-and-farmhouses,2
cliffs-and-rocks,walking,1
cliffs-and-rocks,islands-and-bays,11
cliffs-and-rocks,mountains,2
cliffs-and-rocks,lakes-and-ponds,5
cliffs-and-rocks,roads-and-vehicles,8
cliffs-and-rocks,moles-and-embankments,1
cliffs-and-rocks,boats-and-ships,2
cliffs-and-rocks,summer,1
cliffs-and-rocks,winter,7
cliffs-and-rocks,leisure-and-sleep,1
cliffs-and-rocks,washing-and-laundry,1
cliffs-and-rocks,twilight-and-night,1
cliffs-and-rocks,cows,1
cliffs-and-rocks,group-portraits,1
cliffs-and-rocks,spring,2
cliffs-and-rocks,fields-and-plains,6
cliffs-and-rocks,sunrise-and-sunset,4
cliffs-and-rocks,Normandy,49
cliffs-and-rocks,flowers-and-plants,1
winter,Limousin,2
winter,cottages-and-farmhouses,4
winter,snow-and-blizzard,9
winter,mountains,1
winter,lakes-and-ponds,1
winter,roads-and-vehicles,29
winter,moles-and-embankments,1
winter,boats-and-ships,4
winter,group-portraits,1
winter,countryside,2
winter,mills-and-windmills,1
winter,fields-and-plains,4
winter,Paris,3
lakes-and-ponds,animals,1
lakes-and-ponds,fishing,2
lakes-and-ponds,bathing-and-swimming,3
lakes-and-ponds,snow-and-blizzard,1
lakes-and-ponds,mountains,4
lakes-and-ponds,boats-and-ships,6
lakes-and-ponds,twilight-and-night,2
lakes-and-ponds,countryside,2
lakes-and-ponds,mills-and-windmills,2
lakes-and-ponds,fields-and-plains,4
mountains,animals,2
mountains,cottages-and-farmhouses,1
mountains,mother-and-child,2
mountains,handwork,1
mountains,snow-and-blizzard,2
mountains,walking,1
mountains,islands-and-bays,1
mountains,roads-and-vehicles,1
mountains,moles-and-embankments,1
mountains,boats-and-ships,2
mountains,twilight-and-night,1
mountains,cows,1
mountains,fields-and-plains,1
mountains,sunrise-and-sunset,1
mountains,flowers-and-plants,1
sunrise-and-sunset,Limousin,3
sunrise-and-sunset,handwork,1
sunrise-and-sunset,Normandy,10
sunrise-and-sunset,boats-and-ships,4
boats-and-ships,mother-and-child,3
boats-and-ships,handwork,3
boats-and-ships,snow-and-blizzard,2
boats-and-ships,walking,3
boats-and-ships,female-nude,1
boats-and-ships,doors-and-windows,1
boats-and-ships,roads-and-vehicles,1
boats-and-ships,moles-and-embankments,28
boats-and-ships,markets-and-shops,1
boats-and-ships,twilight-and-night,2
boats-and-ships,group-portraits,9
boats-and-ships,cows,2
boats-and-ships,countryside,1
boats-and-ships,mills-and-windmills,1
boats-and-ships,fields-and-plains,1
boats-and-ships,Normandy,82
boats-and-ships,animals,7
boats-and-ships,couples,1
boats-and-ships,cottages-and-farmhouses,1
boats-and-ships,fishing,7
boats-and-ships,bathing-and-swimming,1
boats-and-ships,islands-and-bays,5
boats-and-ships,summer,2
boats-and-ships,leisure-and-sleep,2
boats-and-ships,flowers-and-plants,1
snow-and-blizzard,roads-and-vehicles,2
snow-and-blizzard,group-portraits,3
snow-and-blizzard,countryside,1
spring,Limousin,1
spring,roads-and-vehicles,3
female-nude,leisure-and-sleep,1
female-nude,couples,8
female-nude,bathing-and-swimming,3
female-nude,summer,1
flowers-and-plants,animals,1
flowers-and-plants,couples,2
flowers-and-plants,arts-and-crafts,1
flowers-and-plants,fruits-and-vegetables,7
flowers-and-plants,doors-and-windows,2
flowers-and-plants,food-and-beverages,3
flowers-and-plants,summer,1
flowers-and-plants,leisure-and-sleep,4
flowers-and-plants,twilight-and-night,1
flowers-and-plants,dishware-and-cutlery,8
flowers-and-plants,furniture-and-decoration,3
flowers-and-plants,fields-and-plains,7
flowers-and-plants,Normandy,2
dishware-and-cutlery,food-and-beverages,12
dishware-and-cutlery,fruits-and-vegetables,9
roads-and-vehicles,animals,5
roads-and-vehicles,couples,2
roads-and-vehicles,islands-and-bays,1
roads-and-vehicles,markets-and-shops,3
roads-and-vehicles,twilight-and-night,3
roads-and-vehicles,cows,2
roads-and-vehicles,group-portraits,3
roads-and-vehicles,countryside,1
roads-and-vehicles,mills-and-windmills,2
roads-and-vehicles,fields-and-plains,3
roads-and-vehicles,Normandy,2
roads-and-vehicles,Paris,1
Normandy,animals,1
Normandy,cottages-and-farmhouses,4
Normandy,fishing,3
Normandy,mother-and-child,1
Normandy,handwork,3
Normandy,walking,6
Normandy,bathing-and-swimming,1
Normandy,islands-and-bays,1
Normandy,moles-and-embankments,18
Normandy,markets-and-shops,6
Normandy,leisure-and-sleep,8
Normandy,washing-and-laundry,3
Normandy,twilight-and-night,1
Normandy,countryside,2
Normandy,fields-and-plains,1
summer,animals,2
summer,islands-and-bays,1
summer,twilight-and-night,2
summer,group-portraits,1
summer,cows,1
summer,fields-and-plains,3
fields-and-plains,Limousin,1
fields-and-plains,animals,13
fields-and-plains,cottages-and-farmhouses,1
fields-and-plains,handwork,1
fields-and-plains,islands-and-bays,1
fields-and-plains,food-and-beverages,1
fields-and-plains,leisure-and-sleep,4
fields-and-plains,twilight-and-night,1
fields-and-plains,cows,13
fields-and-plains,group-portraits,3
fields-and-plains,countryside,12
fields-and-plains,mills-and-windmills,1
cottages-and-farmhouses,countryside,1
furniture-and-decoration,animals,1
furniture-and-decoration,group-portraits,1
furniture-and-decoration,mother-and-child,3
furniture-and-decoration,arts-and-crafts,5
furniture-and-decoration,doors-and-windows,15
fruits-and-vegetables,doors-and-windows,1
fruits-and-vegetables,food-and-beverages,14
doors-and-windows,food-and-beverages,1
twilight-and-night,animals,2
twilight-and-night,islands-and-bays,3
twilight-and-night,cows,1
group-portraits,animals,2
group-portraits,moles-and-embankments,7
group-portraits,markets-and-shops,2
group-portraits,leisure-and-sleep,1
group-portraits,cows,2
mother-and-child,animals,1
mother-and-child,walking,3
mother-and-child,bathing-and-swimming,1
mother-and-child,moles-and-embankments,2
mother-and-child,leisure-and-sleep,2
mother-and-child,designs-and-sketches,6
animals,fishing,1
animals,walking,1
animals,islands-and-bays,1
animals,markets-and-shops,1
animals,cows,47
animals,countryside,6
animals,mills-and-windmills,3
fishing,leisure-and-sleep,1
fishing,cows,1
fishing,walking,1
mills-and-windmills,Limousin,1
mills-and-windmills,cows,1
mills-and-windmills,countryside,2
mills-and-windmills,walking,1
mills-and-windmills,islands-and-bays,1
walking,leisure-and-sleep,5
walking,countryside,1
walking,moles-and-embankments,5
bathing-and-swimming,couples,1
washing-and-laundry,handwork,24
moles-and-embankments,markets-and-shops,1
Paris,couples,2
leisure-and-sleep,islands-and-bays,1
leisure-and-sleep,countryside,1
handwork,countryside,3
markets-and-shops,cows,1
markets-and-shops,designs-and-sketches,1
countryside,Limousin,1
countryside,cows,3
