color_a,color_b,shared_paintings
#7b806b,#25232a,5
#7b806b,#166680,2
#7b806b,#163180,1
#7b806b,#cbb1d4,3
#7b806b,#25152a,1
#6b8070,#6b7080,16
#6b8070,#6b807b,107
#6b8070,#70806b,133
#6b8070,#807b6b,67
#6b8070,#b1bad4,21
#6b8070,#b1cbd4,41
#6b8070,#6a85d4,4
#6b8070,#cbd4b1,69
#6b8070,#d4ba6a,28
#6b8070,#d4cbb1,75
#6b8070,#b1d4ba,27
#6b8070,#b1d4cb,31
#6b8070,#bad4b1,40
#6b8070,#708040,40
#6b8070,#1a152a,4
#6b8070,#25152a,1
#6b8070,#25232a,2
#6b8070,#28232a,2
#6b8070,#2a151a,3
#6b8070,#805040,15
#6b8070,#407080,16
#6b8070,#6abad4,7
#6b8070,#bab1d4,3
#6b8070,#bad46a,7
#6b8070,#6b7b80,59
#6b8070,#15252a,9
#6b8070,#232a28,18
#6b8070,#23282a,5
#6b8070,#232a25,10
#6b8070,#807040,45
#6b8070,#d4bab1,10
#6b8070,#282a23,11
#6b8070,#2a2823,13
#6b8070,#2a2523,11
#6b8070,#252a23,9
#6b8070,#2a2515,12
#6b8070,#803116,4
#6b8070,#151a2a,3
#6b8070,#23252a,4
#6b8070,#405080,5
#6b8070,#152a25,10
#6b8070,#d4856a,2
#6b8070,#408070,12
#6b8070,#2a2107,3
#6b8070,#508040,17
#6b8070,#806616,3
#6b8070,#80706b,19
#6b8070,#152a1a,10
#6b8070,#252a15,4
#6b8070,#668016,1
#6b8070,#1a2a15,5
#6b8070,#806b70,3
#6b8070,#d4a824,2
#6b8070,#706b80,1
#6b8070,#2a2325,1
#6b8070,#804050,1
#6b8070,#d4b1ba,1
#23252a,#151a2a,51
#23252a,#407080,4
#23252a,#6b7b80,31
#23252a,#6b807b,10
#23252a,#b1d4ba,2
#23252a,#b1d4cb,8
#23252a,#23282a,53
#23252a,#2a2823,56
#23252a,#805040,63
#23252a,#80706b,73
#23252a,#807b6b,81
#23252a,#cbd4b1,15
#23252a,#d4ba6a,23
#23252a,#d4cbb1,61
#23252a,#25232a,57
#23252a,#2a151a,6
#23252a,#2a2325,31
#23252a,#2a2523,76
#23252a,#806616,1
#23252a,#1a152a,17
#23252a,#803116,7
#23252a,#d4856a,17
#23252a,#405080,18
#23252a,#6b7080,54
#23252a,#2a2515,19
#23252a,#706b80,20
#23252a,#d4bab1,33
#23252a,#807040,47
#23252a,#b1bad4,25
#23252a,#b1cbd4,21
#23252a,#806b70,6
#23252a,#282a23,16
#23252a,#804050,4
#23252a,#232a25,14
#23252a,#232a28,22
#23252a,#252a23,11
#23252a,#2a2328,24
#23252a,#15252a,8
#23252a,#bad4b1,2
#23252a,#6a85d4,4
#23252a,#70806b,10
#23252a,#bab1d4,9
#23252a,#28232a,17
#23252a,#7b6b80,2
#23252a,#d4b1ba,2
#23252a,#708040,6
#23252a,#bad46a,1
#23252a,#252a15,3
#23252a,#25152a,1
#23252a,#d4a824,1
#23252a,#1a2a15,2
#23252a,#508040,2
#23252a,#152a1a,1
#23252a,#152a25,1
#23252a,#cbb1d4,2
#23252a,#806b7b,1
#23252a,#2a2107,1
#23252a,#6abad4,1
#23252a,#163180,1
#282a23,#252a15,73
#282a23,#2a2515,118
#282a23,#708040,34
#282a23,#807040,124
#282a23,#d4ba6a,37
#282a23,#d4cbb1,89
#282a23,#2a2523,55
#282a23,#2a2823,133
#282a23,#805040,48
#282a23,#80706b,44
#282a23,#d4856a,14
#282a23,#6abad4,5
#282a23,#807b6b,145
#282a23,#cbd4b1,28
#282a23,#70806b,25
#282a23,#bad46a,4
#282a23,#252a23,67
#282a23,#d4bab1,30
#282a23,#232a25,34
#282a23,#232a28,29
#282a23,#407080,2
#282a23,#806616,6
#282a23,#1a2a15,6
#282a23,#b1bad4,22
#282a23,#6b7080,14
#282a23,#706b80,6
#282a23,#2a2107,13
#282a23,#151a2a,2
#282a23,#23282a,17
#282a23,#803116,12
#282a23,#b1cbd4,17
#282a23,#b1d4ba,6
#282a23,#b1d4cb,8
#282a23,#bad4b1,7
#282a23,#15252a,6
#282a23,#152a25,3
#282a23,#806b70,1
#282a23,#508040,1
#282a23,#6b807b,13
#282a23,#6b7b80,13
#282a23,#2a2325,3
#282a23,#bab1d4,8
#282a23,#668016,1
#282a23,#6a85d4,5
#282a23,#1a152a,1
#282a23,#25232a,1
#282a23,#d45124,3
#282a23,#2a151a,1
