path,author_name,painting_name,image_url,x,y
Artists2/Albrecht Altdorfer/Holy Family With An Angel 1515.jpg,Albrecht Altdorfer,Holy Family With An Angel 1515,https://uploads2.wikiart.org/images/albrecht-altdorfer/holy-family-with-an-angel-1515.jpg!Large.jpg,0.014506963461360291,0.0019113193360911695
Artists2/Albrecht Altdorfer/Holy Night Nativity 1511.jpg,Albrecht Altdorfer,Holy Night Nativity 1511,https://uploads5.wikiart.org/images/albrecht-altdorfer/holy-night-nativity-1511.jpg!Large.jpg,0.016326589909118488,0.002088982759510502
Artists2/Albrecht Altdorfer/Landscape With A Footbridge.jpg,Albrecht Altdorfer,Landscape With A Footbridge,https://uploads8.wikiart.org/images/albrecht-altdorfer/landscape-with-a-footbridge.jpg!Large.jpg,-0.001128227909151202,0.015441807416234084
Artists2/Albrecht Altdorfer/Landscape With Satyrfamilie 1507.jpg,Albrecht Altdorfer,Landscape With Satyrfamilie 1507,https://uploads4.wikiart.org/images/albrecht-altdorfer/landscape-with-satyrfamilie-1507.jpg!Large.jpg,-0.025169339191468174,0.07933488314358673
Artists2/Albrecht Altdorfer/Landscape.jpg,Albrecht Altdorfer,Landscape,https://uploads8.wikiart.org/images/albrecht-altdorfer/landscape.jpg!Large.jpg,0.0028787781107698107,0.0027364125010769665
Artists2/Albrecht Altdorfer/Lot And His Daughter 1537.jpg,Albrecht Altdorfer,Lot And His Daughter 1537,https://uploads6.wikiart.org/images/albrecht-altdorfer/lot-and-his-daughter-1537.jpg!Large.jpg,-0.0011201756706206007,-0.0022564971754705423
Artists2/Albrecht Altdorfer/Lovers 1511.jpg,Albrecht Altdorfer,Lovers 1511,https://uploads1.wikiart.org/images/albrecht-altdorfer/lovers-1511.jpg!Large.jpg,-0.018148884562791453,-0.006766933167625175
Artists2/Albrecht Altdorfer/Lovers In A Hay Field 1508.jpg,Albrecht Altdorfer,Lovers In A Hay Field 1508,https://uploads7.wikiart.org/images/albrecht-altdorfer/lovers-in-a-hay-field-1508.jpg!Large.jpg,-0.014804750554823219,-0.0053921776305307775
Artists2/Albrecht Altdorfer/Lovers.jpg,Albrecht Altdorfer,Lovers,https://uploads5.wikiart.org/images/albrecht-altdorfer/lovers.jpg!Large.jpg,-0.016764650170261654,-0.005578727409367099
Artists2/Albrecht Altdorfer/Madonna Beautiful Maria Of Regensburg 1522.jpg,Albrecht Altdorfer,Madonna Beautiful Maria Of Regensburg 1522,https://uploads5.wikiart.org/images/albrecht-altdorfer/madonna-beautiful-maria-of-regensburg-1522.jpg!Large.jpg,0.013188374538340108,0.0015616006716201694
Artists2/Albrecht Altdorfer/Martyrdom Of St Sebastian 1516.jpg,Albrecht Altdorfer,Martyrdom Of St Sebastian 1516,https://uploads2.wikiart.org/images/albrecht-altdorfer/martyrdom-of-st-sebastian-1516.jpg!Large.jpg,0.0172160264392419,0.002803987608379412
Artists2/Albrecht Altdorfer/Mary In Glory 1526.jpg,Albrecht Altdorfer,Mary In Glory 1526,https://uploads8.wikiart.org/images/albrecht-altdorfer/mary-in-glory-1526.jpg!Large.jpg,0.019622063300490444,0.0024608324665360685
Artists2/Albrecht Altdorfer/Mary With Child 1531.jpg,Albrecht Altdorfer,Mary With Child 1531,https://uploads0.wikiart.org/images/albrecht-altdorfer/mary-with-child-1531.jpg,0.01480278965344524,0.001812089508690056
Artists2/Albrecht Altdorfer/Mary With The Child 1525.jpg,Albrecht Altdorfer,Mary With The Child 1525,https://uploads5.wikiart.org/images/albrecht-altdorfer/mary-with-the-child-1525.jpg!Large.jpg,0.02042431600807866,0.0024118499097746412
Artists2/Albrecht Altdorfer/Mountain Range 1530.jpg,Albrecht Altdorfer,Mountain Range 1530,https://uploads8.wikiart.org/images/albrecht-altdorfer/mountain-range-1530.jpg,0.0021967668877842673,0.0008535549011458703
Artists2/Albrecht Altdorfer/Nativity 1507.jpg,Albrecht Altdorfer,Nativity 1507,https://uploads3.wikiart.org/images/albrecht-altdorfer/nativity-1507.jpg!Large.jpg,0.01576958933099251,0.0020346217086744723
Artists2/Albrecht Altdorfer/Nativity 1525.jpg,Albrecht Altdorfer,Nativity 1525,https://uploads2.wikiart.org/images/albrecht-altdorfer/nativity-1525.jpg,0.013355360434930698,0.001704154094725299
Artists2/Albrecht Altdorfer/Overall Sketch Of The Picture Susanna And The Elders 1526.jpg,Albrecht Altdorfer,Overall Sketch Of The Picture Susanna And The Elders 1526,https://uploads2.wikiart.org/images/albrecht-altdorfer/overall-sketch-of-the-picture-susanna-and-the-elders-1526.jpg!Large.jpg,-0.0075701278919000576,-0.007280707994162217
Artists2/Albrecht Altdorfer/Passion Of Christ 1.jpg,Albrecht Altdorfer,Passion Of Christ 1,https://uploads0.wikiart.org/images/albrecht-altdorfer/passion-of-christ-1.jpg!Large.jpg,0.016713843108122475,0.002228526869247112
Artists2/Albrecht Altdorfer/Passion Of Christ 2.jpg,Albrecht Altdorfer,Passion Of Christ 2,https://uploads0.wikiart.org/images/albrecht-altdorfer/passion-of-christ-2.jpg!Large.jpg,0.01911214258580275,0.002484780223121694
Artists2/Albrecht Altdorfer/Passion Of Christ 3.jpg,Albrecht Altdorfer,Passion Of Christ 3,https://uploads0.wikiart.org/images/albrecht-altdorfer/passion-of-christ-3.jpg!Large.jpg,0.014161392275905205,0.0016117595519108054
Artists2/Albrecht Altdorfer/Passion Of Christ 4.jpg,Albrecht Altdorfer,Passion Of Christ 4,https://uploads0.wikiart.org/images/albrecht-altdorfer/passion-of-christ-4.jpg!Large.jpg,0.014891798240743324,0.0015106857025793182
Artists2/Albrecht Altdorfer/Passion Of Christ.jpg,Albrecht Altdorfer,Passion Of Christ,https://uploads7.wikiart.org/images/albrecht-altdorfer/passion-of-christ.jpg!Large.jpg,0.01805487745924162,0.0023468931618357922
Artists2/Albrecht Altdorfer/Penitent St Jerome 1507.jpg,Albrecht Altdorfer,Penitent St Jerome 1507,https://uploads4.wikiart.org/images/albrecht-altdorfer/penitent-st-jerome-1507.jpg!Large.jpg,0.02140016821282691,0.002903202354790412
Artists2/Albrecht Altdorfer/Portrait Of A Woman 1530.jpg,Albrecht Altdorfer,Portrait Of A Woman 1530,https://uploads5.wikiart.org/images/albrecht-altdorfer/portrait-of-a-woman-1530.jpg!Large.jpg,-0.02232541640952793,-0.003160738681754927
