painting_id,motif,weight
painting::Artists2/Jan Steen/Feast Of St Nicholas 1665.jpg,group-portraits,1
painting::Artists2/Jan Steen/Effects Of Intemperance 1665.jpg,group-portraits,1
painting::Artists2/Jan Steen/Doctor S Visit.jpg,group-portraits,1
painting::Artists2/Jan Steen/Doctor S Visit 1665.jpg,group-portraits,1
painting::Artists2/Jan Steen/An Old To Young Girl.jpg,group-portraits,1
painting::Artists2/Jan Steen/Doctor S Visit 1662.jpg,group-portraits,1
painting::Artists2/Jan Steen/Sick Old Man 1660.jpg,group-portraits,1
painting::Artists2/Gabriel Metsu/The Family Of Jan Jacobsz Hinlopen.jpg,group-portraits,1
painting::Artists2/Jan Steen/Doctor S Visit 1.jpg,group-portraits,1
painting::Artists2/Jan Steen/Burgher Of Delft And His Daughter 1655.jpg,group-portraits,1
painting::Artists2/Jan Steen/Quackdoctor 1651.jpg,group-portraits,1
painting::Artists2/Jan Steen/Lean Kitchen.jpg,group-portraits,1
painting::Artists2/Jan Siberechts/An Extensive River Landscape Probably Derbyshire With Drovers And Their Cattle In The 1698.jpg,group-portraits,1
painting::Artists2/Jan Siberechts/A Pastoral Landscape 1684.jpg,group-portraits,1
painting::Artists2/Jan Siberechts/The Market Garden 1664.jpg,group-portraits,1
painting::Artists2/Gabriel Metsu/The Dismissal Of Hagar.jpg,group-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Two Kids Are Fighting.jpg,group-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Two Peasant Boys 1670.jpg,group-portraits,1
painting::Artists2/Bartolome Esteban Murillo/A Girl And Her Duenna 1670.jpg,group-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Four Figures On A Step 1660.jpg,group-portraits,1
painting::Artists2/Gerrit Dou/The Quack 1652.jpg,group-portraits,1
painting::Artists2/Le Nain Brothers/The Academy.jpg,group-portraits,1
painting::Artists2/Le Nain Brothers/The Musical Meeting.jpg,group-portraits,1
painting::Artists2/Alonzo Cano/Kings Of The Visigoths.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Venne/Where There Are People Money May Be Made.jpg,group-portraits,1
painting::Artists2/Hercules Seghers/Mountain Valley.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Venne/What Won T People Do For Money.jpg,group-portraits,1
painting::Artists2/Nicolas Tournier/The Guard Room.jpg,group-portraits,1
painting::Artists2/Hendrick Terbrugghen/The Calling Of St Matthew.jpg,group-portraits,1
painting::Artists2/Frans Hals/Peasants At A Wedding Feast.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Regentesses Of The Old Men S Almhouse Haarlem Detail 1664.jpg,group-portraits,1
