color_a,color_b,shared_paintings
#408070,#d45124,8
#408070,#d4a824,6
#408070,#d4ba6a,8
#408070,#408050,7
#408070,#6b8070,7
#408070,#6b807b,8
#408070,#70806b,6
#408070,#80706b,1
#408070,#cbd4b1,6
#408070,#d4cbb1,11
#408070,#708040,2
#408070,#b1d4cb,6
#408070,#6b7080,1
#408070,#b1cbd4,2
#408070,#2a1a15,3
#408070,#2a2515,3
#408070,#2a2523,3
#408070,#2a2823,2
#408070,#407080,9
#408070,#6abad4,4
#408070,#072a21,2
#408070,#152a1a,4
#408070,#152a25,6
#408070,#b1d4ba,4
#408070,#bad4b1,3
#408070,#166680,8
#408070,#252a15,2
#408070,#252a23,2
#408070,#2a1007,4
#408070,#2a2107,2
#408070,#232a25,1
#408070,#807040,6
#408070,#807b6b,2
#408070,#d4856a,5
#408070,#801631,1
#408070,#803116,4
#408070,#102a07,1
#408070,#1a2a15,1
#408070,#6b7b80,3
#408070,#07212a,1
#408070,#806616,2
#408070,#072a10,1
#408070,#2a151a,1
#408070,#15252a,2
#408070,#24a8d4,3
#408070,#805040,1
#408070,#bad46a,1
#80706b,#807b6b,113
#80706b,#b1bad4,29
#80706b,#b1cbd4,13
#80706b,#d4b1ba,27
#80706b,#d4b1cb,5
#80706b,#d4cbb1,155
#80706b,#2a1a15,78
#80706b,#2a2523,143
#80706b,#805040,125
#80706b,#2a2823,22
#80706b,#803116,42
#80706b,#806616,10
#80706b,#807040,66
#80706b,#d4a824,23
#80706b,#15252a,13
#80706b,#d4ba6a,49
#80706b,#2a2325,22
#80706b,#d45124,25
#80706b,#d4856a,61
#80706b,#23282a,18
#80706b,#2a2328,12
#80706b,#6b7b80,24
#80706b,#23252a,29
#80706b,#25232a,13
#80706b,#407080,7
#80706b,#6b7080,37
#80706b,#706b80,21
#80706b,#806b70,36
#80706b,#cbd4b1,26
#80706b,#7b6b80,7
#80706b,#806b7b,9
#80706b,#6b807b,7
#80706b,#6b8070,5
#80706b,#70806b,6
#80706b,#bad4b1,6
#80706b,#408050,1
#80706b,#405080,13
#80706b,#804050,5
#80706b,#801631,4
#80706b,#151a2a,18
#80706b,#072a21,2
#80706b,#bab1d4,9
#80706b,#cbb1d4,4
#80706b,#28232a,8
#80706b,#2a151a,16
#80706b,#6a85d4,2
#80706b,#504080,3
#80706b,#708040,5
#80706b,#2a1525,6
#80706b,#1a152a,4
#80706b,#25152a,3
#80706b,#2a0721,1
#80706b,#2a0710,8
#80706b,#2a1007,49
#80706b,#d42451,5
#80706b,#2a2515,32
#80706b,#232a25,1
#80706b,#2a2107,8
#80706b,#6abad4,2
#80706b,#252a15,3
#80706b,#163180,2
#80706b,#668016,2
#80706b,#166680,2
#80706b,#b1d4ba,3
#80706b,#b1d4cb,3
#80706b,#508040,4
#80706b,#07102a,1
#80706b,#d46a85,1
#80706b,#1a2a15,1
#80706b,#232a28,1
#80706b,#252a23,1
#80706b,#152a1a,1
#102a07,#b1d4ba,1
#102a07,#b1d4cb,1
#102a07,#bad4b1,1
#102a07,#cbd4b1,4
#102a07,#d4ba6a,5
#102a07,#d4cbb1,11
#102a07,#1a2a15,6
#102a07,#252a15,3
#102a07,#708040,3
#102a07,#807040,2
#102a07,#807b6b,1
#102a07,#212a07,6
#102a07,#cbb1d4,1
#102a07,#d45124,5
#102a07,#d4a824,7
#102a07,#d4b1cb,2
#102a07,#072a10,4
#102a07,#d4856a,1
#102a07,#163180,1
#102a07,#2a1007,2
#102a07,#152a1a,5
#102a07,#408050,1
#102a07,#2a2107,2
#102a07,#407080,1
#102a07,#508040,2
#102a07,#668016,3
#102a07,#803116,2
#102a07,#bab1d4,1
#102a07,#bad46a,1
#102a07,#152a25,2
#102a07,#6b7b80,1
#102a07,#6b8070,1
#102a07,#6b807b,1
#102a07,#b1cbd4,1
#102a07,#806616,2
#102a07,#804050,1
#102a07,#072a21,1
#bab1d4,#cbb1d4,7
#bab1d4,#cbd4b1,3
#bab1d4,#d4b1ba,9
#bab1d4,#d4b1cb,5
#bab1d4,#23252a,2
#bab1d4,#25232a,3
#bab1d4,#2a2523,6
#bab1d4,#6b7080,5
#bab1d4,#706b80,7
#bab1d4,#b1bad4,17
#bab1d4,#151a2a,2
#bab1d4,#405080,3
#bab1d4,#7b6b80,3
#bab1d4,#806b70,4
#bab1d4,#806b7b,3
#bab1d4,#28232a,1
#bab1d4,#2a151a,1
#bab1d4,#2a2328,1
#bab1d4,#6a85d4,2
#bab1d4,#805040,7
#bab1d4,#b1cbd4,4
#bab1d4,#b1d4cb,2
#bab1d4,#d4ba6a,4
#bab1d4,#d4cbb1,13
#bab1d4,#2a1a15,6
#bab1d4,#803116,7
#bab1d4,#807040,2
#bab1d4,#d4856a,1
#bab1d4,#bad4b1,1
#bab1d4,#d4a824,4
#bab1d4,#2a1007,3
#bab1d4,#d45124,1
#bab1d4,#504080,1
#bab1d4,#152a1a,1
#bab1d4,#1a2a15,1
#bab1d4,#252a15,1
#bab1d4,#807b6b,2
#bab1d4,#2a2515,2
#bab1d4,#2a2823,3
#bab1d4,#6b807b,1
#bab1d4,#252a23,1
#bab1d4,#2a1525,1
#bab1d4,#23282a,1
#2a2328,#25152a,4
#2a2328,#2a151a,9
#2a2328,#2a1525,4
#2a2328,#2a2325,17
#2a2328,#805040,6
#2a2328,#15252a,1
#2a2328,#23282a,2
#2a2328,#2a2523,12
#2a2328,#6b7b80,4
#2a2328,#d45124,2
#2a2328,#23252a,7
#2a2328,#25232a,9
#2a2328,#2a0710,1
#2a2328,#2a1a15,5
#2a2328,#6b7080,5
#2a2328,#1a152a,3
#2a2328,#504080,3
#2a2328,#d42451,1
#2a2328,#d46a85,1
#2a2328,#2a2515,1
#2a2328,#d4cbb1,10
#2a2328,#803116,3
#2a2328,#d4a824,2
#2a2328,#d4ba6a,2
#2a2328,#28232a,9
#2a2328,#405080,4
#2a2328,#6a85d4,1
#2a2328,#806b70,6
#2a2328,#7b6b80,4
#2a2328,#801631,1
#2a2328,#806b7b,7
#2a2328,#151a2a,2
#2a2328,#b1bad4,4
#2a2328,#2a2823,2
#2a2328,#706b80,4
#2a2328,#b1cbd4,1
#2a2328,#cbb1d4,1
#2a2328,#d4b1cb,1
#2a2328,#2a1007,1
#2a2328,#d4856a,1
#2a2328,#407080,3
#2a2328,#6abad4,1
#2a2328,#807b6b,2
#2a2325,#d45124,4
#2a2325,#d4856a,7
#2a2325,#d4a824,1
#2a2325,#d4cbb1,17
#2a2325,#2a151a,19
#2a2325,#2a2523,31
#2a2325,#2a2823,7
#2a2325,#25152a,3
#2a2325,#2a1525,6
#2a2325,#805040,15
#2a2325,#15252a,3
#2a2325,#23282a,4
#2a2325,#6b7b80,5
#2a2325,#2a1a15,21
#2a2325,#803116,6
#2a2325,#23252a,10
#2a2325,#25232a,9
#2a2325,#2a0710,3
#2a2325,#6b7080,5
#2a2325,#07102a,1
#2a2325,#2a1007,6
#2a2325,#1a152a,2
#2a2325,#504080,1
#2a2325,#d42451,1
#2a2325,#d46a85,1
#2a2325,#2a2515,3
#2a2325,#407080,4
#2a2325,#706b80,4
#2a2325,#806b70,7
#2a2325,#d4ba6a,6
#2a2325,#151a2a,3
#2a2325,#28232a,6
#2a2325,#806b7b,3
#2a2325,#b1bad4,2
#2a2325,#2a0721,1
#2a2325,#807040,3
#2a2325,#cbd4b1,3
#2a2325,#708040,1
#2a2325,#807b6b,4
#2a2325,#b1d4ba,1
#2a2325,#bad4b1,1
#2a2325,#7b6b80,1
#2a2325,#6b8070,1
#2a2325,#6b807b,1
#2a2325,#70806b,1
#2a2325,#405080,2
#2a2325,#6abad4,1
#407080,#2a151a,4
#407080,#2a1a15,7
#407080,#6abad4,21
#407080,#d45124,12
#407080,#d46a85,1
#407080,#d4a824,11
#407080,#166680,20
#407080,#24a8d4,6
#407080,#d4cbb1,29
#407080,#23252a,7
#407080,#25232a,2
#407080,#6b7080,10
#407080,#6b7b80,40
#407080,#706b80,2
#407080,#806b70,1
#407080,#405080,24
#407080,#807b6b,13
#407080,#b1bad4,9
#407080,#805040,11
#407080,#801631,1
#407080,#b1cbd4,24
#407080,#6a85d4,2
#407080,#072a21,3
#407080,#252a23,3
#407080,#6b807b,23
#407080,#70806b,6
#407080,#b1d4cb,8
#407080,#d4ba6a,11
#407080,#15252a,34
#407080,#23282a,11
#407080,#2a2515,10
#407080,#2a2523,3
#407080,#2a2823,3
#407080,#807040,13
#407080,#b1d4ba,1
#407080,#bad4b1,4
#407080,#cbd4b1,5
#407080,#07102a,4
#407080,#07212a,8
#407080,#151a2a,18
#407080,#803116,7
#407080,#152a25,6
#407080,#232a25,2
#407080,#2a2107,6
#407080,#806616,8
#407080,#2a1007,8
#407080,#212a07,1
#407080,#252a15,4
#407080,#d4856a,7
#407080,#708040,6
#407080,#6b8070,6
#407080,#1a2a15,1
#407080,#d42451,1
#407080,#232a28,3
#407080,#163180,2
#407080,#28232a,1
#407080,#508040,1
#407080,#bad46a,2
#407080,#152a1a,1
#407080,#408050,1
#407080,#668016,1
#6abad4,#2a151a,2
#6abad4,#2a1a15,6
#6abad4,#d45124,5
#6abad4,#d46a85,2
