node_id,node_type,label,degree
painting::Artists2/Pieter Bruegel The Elder/The Little Tower Of Babel 1563.jpg,painting,The Little Tower Of Babel 1563,1
painting::Artists2/Pieter Bruegel The Elder/Portrait Of An Old Woman 1563.jpg,painting,Portrait Of An Old Woman 1563,1
painting::Artists2/Pieter Bruegel The Elder/Landscape With The Flight Into Egypt 1563.jpg,painting,Landscape With The Flight Into Egypt 1563,3
painting::Artists2/Pieter Bruegel The Elder/The Triumph Of Death 1562 1.jpg,painting,The Triumph Of Death 1562 1,3
motif::Hell,motif,Hell,13
motif::birth-and-death,motif,birth-and-death,15
painting::Artists2/Pieter Bruegel The Elder/The Suicide Of Saul.jpg,painting,The Suicide Of Saul,1
painting::Artists2/Pieter Bruegel The Elder/Armed Three Master With Daedalus And Icarus In The Sky 1562.jpg,painting,Armed Three Master With Daedalus And Icarus In The Sky 1562,1
motif::Greek-and-Roman-Mythology,motif,Greek-and-Roman-Mythology,64
painting::Artists2/Pieter Bruegel The Elder/The Fall Of The Rebel Angels 1562.jpg,painting,The Fall Of The Rebel Angels 1562,1
motif::angels-and-archangels,motif,angels-and-archangels,165
painting::Artists2/Pieter Bruegel The Elder/The Fair On St George S Day.jpg,painting,The Fair On St George S Day,1
motif::houses-and-buildings,motif,houses-and-buildings,18
painting::Artists2/Pieter Bruegel The Elder/The Resurrection Of Christ.jpg,painting,The Resurrection Of Christ,2
painting::Artists2/Pieter Bruegel The Elder/Courage.jpg,painting,Courage,1
painting::Artists2/Pieter Bruegel The Elder/Envy.jpg,painting,Envy,2
painting::Artists2/Pieter Bruegel The Elder/Faith.jpg,painting,Faith,1
painting::Artists2/Pieter Bruegel The Elder/Greed.jpg,painting,Greed,2
painting::Artists2/Pieter Bruegel The Elder/Hope.jpg,painting,Hope,1
painting::Artists2/Pieter Bruegel The Elder/Justice.jpg,painting,Justice,1
painting::Artists2/Pieter Bruegel The Elder/Laziness.jpg,painting,Laziness,1
